"Time","value"
2025-07-30 14:12:30,79.7 K
2025-07-30 14:12:45,80.1 K
2025-07-30 14:13:00,79.4 K
2025-07-30 14:13:15,80.7 K
2025-07-30 14:13:30,79.9 K
2025-07-30 14:13:45,80.7 K
2025-07-30 14:14:00,78.4 K
2025-07-30 14:14:15,80.7 K
2025-07-30 14:14:30,80.8 K
2025-07-30 14:14:45,80.6 K
2025-07-30 14:15:00,81.1 K
2025-07-30 14:15:15,81.2 K
2025-07-30 14:15:30,80.4 K
2025-07-30 14:15:45,81.1 K
2025-07-30 14:16:00,79.7 K
2025-07-30 14:16:15,79.8 K
2025-07-30 14:16:30,79.2 K
2025-07-30 14:16:45,80.5 K
2025-07-30 14:17:00,80.1 K
2025-07-30 14:17:15,79.8 K
2025-07-30 14:17:30,79.1 K
2025-07-30 14:17:45,80.0 K
2025-07-30 14:18:00,80.6 K
2025-07-30 14:18:15,80.0 K
2025-07-30 14:18:30,80.7 K
2025-07-30 14:18:45,81.4 K
2025-07-30 14:19:00,80.9 K
2025-07-30 14:19:15,79.5 K
2025-07-30 14:19:30,78.7 K
2025-07-30 14:19:45,80.8 K
2025-07-30 14:20:00,80.2 K
2025-07-30 14:20:15,80.9 K
2025-07-30 14:20:30,79.5 K
2025-07-30 14:20:45,80.3 K
2025-07-30 14:21:00,78.5 K
2025-07-30 14:21:15,80.6 K
2025-07-30 14:21:30,81.3 K
2025-07-30 14:21:45,81.6 K
2025-07-30 14:22:00,79.4 K
2025-07-30 14:22:15,79.8 K
2025-07-30 14:22:30,80.5 K
2025-07-30 14:22:45,80.8 K
2025-07-30 14:23:00,80.1 K
2025-07-30 14:23:15,81.0 K
2025-07-30 14:23:30,79.9 K
2025-07-30 14:23:45,84.4 K
2025-07-30 14:24:00,98.5 K
2025-07-30 14:24:15,103.0 K
2025-07-30 14:24:30,108.8 K
2025-07-30 14:24:45,113.9 K
2025-07-30 14:25:00,118.8 K
2025-07-30 14:25:15,123.3 K
2025-07-30 14:25:30,127.8 K
2025-07-30 14:25:45,131.8 K
2025-07-30 14:26:00,135.9 K
2025-07-30 14:26:15,139.7 K
2025-07-30 14:26:30,143.4 K
2025-07-30 14:26:45,147.1 K
2025-07-30 14:27:00,150.6 K
2025-07-30 14:27:15,154.2 K
2025-07-30 14:27:30,158.4 K
2025-07-30 14:27:45,160.6 K
2025-07-30 14:28:00,163.7 K
2025-07-30 14:28:15,166.7 K
2025-07-30 14:28:30,169.8 K
2025-07-30 14:28:45,172.8 K
2025-07-30 14:29:00,175.6 K
2025-07-30 14:29:15,178.4 K
2025-07-30 14:29:30,181.3 K
